Fichier analysé : netmob_for_awsctd.csv
Total séquences : 7700
Anomalies détectées : 342
Date: 20190422 | Tile: Facebook_DL_Tile_101466.txt | Confiance: 0.9686
Date: 20190512 | Tile: Facebook_DL_Tile_101466.txt | Confiance: 0.9998
Date: 20190508 | Tile: Facebook_DL_Tile_101466.txt | Confiance: 0.9690
Date: 20190501 | Tile: Facebook_DL_Tile_101680.txt | Confiance: 0.9328
Date: 20190422 | Tile: Facebook_DL_Tile_101680.txt | Confiance: 0.9350
Date: 20190512 | Tile: Facebook_DL_Tile_101680.txt | Confiance: 0.9994
Date: 20190508 | Tile: Facebook_DL_Tile_101680.txt | Confiance: 0.9429
Date: 20190501 | Tile: Facebook_DL_Tile_101747.txt | Confiance: 0.9584
Date: 20190422 | Tile: Facebook_DL_Tile_101747.txt | Confiance: 0.9681
Date: 20190512 | Tile: Facebook_DL_Tile_101747.txt | Confiance: 0.9999
Date: 20190508 | Tile: Facebook_DL_Tile_101747.txt | Confiance: 0.9636
Date: 20190422 | Tile: Facebook_DL_Tile_101971.txt | Confiance: 0.9612
Date: 20190512 | Tile: Facebook_DL_Tile_101971.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_101971.txt | Confiance: 0.9483
Date: 20190501 | Tile: Facebook_DL_Tile_101991.txt | Confiance: 0.9467
Date: 20190422 | Tile: Facebook_DL_Tile_101991.txt | Confiance: 0.9717
Date: 20190512 | Tile: Facebook_DL_Tile_101991.txt | Confiance: 0.9999
Date: 20190501 | Tile: Facebook_DL_Tile_102211.txt | Confiance: 0.9812
Date: 20190422 | Tile: Facebook_DL_Tile_102211.txt | Confiance: 0.9709
Date: 20190512 | Tile: Facebook_DL_Tile_102211.txt | Confiance: 0.9999
Date: 20190508 | Tile: Facebook_DL_Tile_102211.txt | Confiance: 0.9642
Date: 20190501 | Tile: Facebook_DL_Tile_102268.txt | Confiance: 0.9618
Date: 20190422 | Tile: Facebook_DL_Tile_102268.txt | Confiance: 0.9490
Date: 20190512 | Tile: Facebook_DL_Tile_102268.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_102268.txt | Confiance: 0.9750
Date: 20190501 | Tile: Facebook_DL_Tile_102276.txt | Confiance: 0.9582
Date: 20190422 | Tile: Facebook_DL_Tile_102276.txt | Confiance: 0.9575
Date: 20190512 | Tile: Facebook_DL_Tile_102276.txt | Confiance: 0.9999
Date: 20190508 | Tile: Facebook_DL_Tile_102276.txt | Confiance: 0.9532
Date: 20190422 | Tile: Facebook_DL_Tile_102294.txt | Confiance: 0.9591
Date: 20190512 | Tile: Facebook_DL_Tile_102294.txt | Confiance: 0.9996
Date: 20190508 | Tile: Facebook_DL_Tile_102294.txt | Confiance: 0.9566
Date: 20190501 | Tile: Facebook_DL_Tile_102334.txt | Confiance: 0.9663
Date: 20190422 | Tile: Facebook_DL_Tile_102334.txt | Confiance: 0.9785
Date: 20190512 | Tile: Facebook_DL_Tile_102334.txt | Confiance: 0.9914
Date: 20190501 | Tile: Facebook_DL_Tile_102563.txt | Confiance: 0.9294
Date: 20190422 | Tile: Facebook_DL_Tile_102563.txt | Confiance: 0.9586
Date: 20190512 | Tile: Facebook_DL_Tile_102563.txt | Confiance: 0.9999
Date: 20190508 | Tile: Facebook_DL_Tile_102563.txt | Confiance: 0.9767
Date: 20190501 | Tile: Facebook_DL_Tile_102595.txt | Confiance: 0.9212
Date: 20190422 | Tile: Facebook_DL_Tile_102595.txt | Confiance: 0.8746
Date: 20190512 | Tile: Facebook_DL_Tile_102595.txt | Confiance: 0.9997
Date: 20190501 | Tile: Facebook_DL_Tile_102872.txt | Confiance: 0.9551
