42,-158.22906494140625,Normaly
53,-176.0311737060547,Normaly
54,-361.60223388671875,Normaly
69,-305.08697509765625,Normaly
51,-302.84344482421875,Normaly
52,-179.22259521484375,Normaly
73,-116.70758056640625,Normaly
58,-548.6175537109375,Normaly
59,-120.05841064453125,Normaly
53,-184.30345153808594,Normaly
38,-149.56292724609375,Normaly
68,-108.21456146240234,Normaly
49,-547.67041015625,Normaly
50,-174.83285522460938,Normaly
46,-160.57284545898438,Normaly
57,-204.85215759277344,Normaly
48,-298.47686767578125,Normaly
40,-196.2775421142578,Normaly
73,-117.06988525390625,Normaly
36,-324.6304931640625,Normaly
60,-166.87667846679688,Normaly
52,-147.79959106445312,Normaly
72,-113.38153839111328,Normaly
36,-305.42999267578125,Normaly
51,-212.9743194580078,Normaly
71,-240.41580200195312,Normaly
47,-187.39022827148438,Normaly
51,-199.3548126220703,Normaly
74,-594.6753540039062,Normaly
35,-223.41207885742188,Normaly
65,-193.88583374023438,Normaly
73,-119.59898376464844,Normaly
64,-125.19120025634766,Normaly
69,-279.9954833984375,Normaly
57,-196.42198181152344,Normaly
36,-435.8740234375,Normaly
68,-118.78705596923828,Normaly
50,-167.7698211669922,Normaly
51,-204.7796630859375,Normaly
57,-211.06390380859375,Normaly
69,-206.95794677734375,Normaly
62,-144.8590087890625,Normaly
56,-474.3072509765625,Normaly
47,-217.62474060058594,Normaly
39,-143.51083374023438,Normaly
72,-117.68753051757812,Normaly
36,-729.9893798828125,Normaly
68,-125.2821044921875,Normaly
52,-165.70877075195312,Normaly
63,-206.95254516601562,Normaly
67,-183.33676147460938,Normaly
51,-201.3787841796875,Normaly
46,-167.35330200195312,Normaly
61,-137.09962463378906,Normaly
36,-927.677490234375,Normaly
46,-180.0963134765625,Normaly
57,-232.79605102539062,Normaly
49,-385.4035949707031,Normaly
40,-153.09808349609375,Normaly
58,-176.80804443359375,Normaly
59,-143.0130615234375,Normaly
74,-312.80145263671875,Normaly
64,-132.7576141357422,Normaly
61,-135.8214111328125,Normaly
63,-205.3932647705078,Normaly
73,-122.4713363647461,Normaly
35,-187.05740356445312,Normaly
47,-157.16592407226562,Normaly
67,-164.18333435058594,Normaly
50,-154.7321014404297,Normaly
57,-267.12286376953125,Normaly
44,-287.2916259765625,Normaly
74,-327.23419189453125,Normaly
60,-168.8076171875,Normaly
43,-214.66409301757812,Normaly
42,-197.36521911621094,Normaly
48,-308.01312255859375,Normaly
68,-126.32186126708984,Normaly
69,-199.87176513671875,Normaly
52,-187.973388671875,Normaly
40,-166.6617431640625,Normaly
52,-196.12973022460938,Normaly
65,-250.46881103515625,Normaly
68,-130.5217742919922,Normaly
35,-149.26710510253906,Normaly
37,-168.60427856445312,Normaly
51,-292.06414794921875,Normaly
71,-186.42022705078125,Normaly
39,-136.58767700195312,Normaly
61,-141.9384765625,Normaly
63,-165.71728515625,Normaly
74,-350.163818359375,Normaly
76,-161.88864135742188,Normaly
42,-279.9989929199219,Normaly
70,-209.9176788330078,Normaly
58,-186.6648712158203,Normaly
62,-131.313720703125,Normaly
64,-124.07269287109375,Normaly
73,-116.91279602050781,Normaly
39,-189.9781494140625,Normaly
60,-149.48916625976562,Normaly
68,-124.97877502441406,Normaly
68,-121.5845947265625,Normaly
38,-173.03628540039062,Normaly
41,-153.30320739746094,Normaly
36,-297.53204345703125,Normaly
76,-156.92962646484375,Normaly
72,-120.62681579589844,Normaly
72,-118.79759216308594,Normaly
56,-380.2205505371094,Normaly
72,-117.57737731933594,Normaly
40,-248.04248046875,Normaly
42,-420.10467529296875,Normaly
54,-146.64218139648438,Normaly
55,-2489929.0,Normaly
76,-157.42001342773438,Normaly
71,-166.69175720214844,Normaly
67,-184.99159240722656,Normaly
38,-183.40615844726562,Normaly
49,-324.77838134765625,Normaly
43,-142.49290466308594,Normaly
64,-114.72688293457031,Normaly
67,-192.25003051757812,Normaly
44,-213.87374877929688,Normaly
64,-116.99739837646484,Normaly
44,-211.74118041992188,Normaly
61,-117.41275024414062,Normaly
54,-136.54043579101562,Normaly
39,-137.60629272460938,Normaly
69,-241.002685546875,Normaly
36,-418.51898193359375,Normaly
62,-113.32398986816406,Normaly
41,-213.05441284179688,Normaly
61,-110.2599868774414,Normaly
47,-152.5845184326172,Normaly
71,-262.5404968261719,Normaly
44,-318.09295654296875,Normaly
51,-159.33172607421875,Normaly
65,-330.8089904785156,Normaly
40,-146.49188232421875,Normaly
63,-202.92478942871094,Normaly
54,-138.5938720703125,Normaly
65,-282.4967346191406,Normaly
75,-114.30703735351562,Normaly
56,-226.5313720703125,Normaly
47,-176.02679443359375,Normaly
58,-757.5541381835938,Normaly
39,-154.6348876953125,Normaly
75,-111.15254974365234,Normaly
42,-228.35154724121094,Normaly
65,-161.52183532714844,Normaly
39,-155.11666870117188,Normaly
42,-402.8604736328125,Normaly
75,-128.43722534179688,Normaly
66,-175.14584350585938,Normaly
35,-133.583984375,Normaly
46,-191.44528198242188,Normaly
50,-215.49293518066406,Normaly
71,-244.875244140625,Normaly
63,-171.4874267578125,Normaly
57,-194.090576171875,Normaly
58,-161.7874298095703,Normaly
73,-132.66845703125,Normaly
57,-227.64013671875,Normaly
49,-255.37770080566406,Normaly
52,-187.90798950195312,Normaly
45,-452.7694091796875,Normaly
76,-216.33714294433594,Normaly
47,-199.63104248046875,Normaly
39,-214.82321166992188,Normaly
38,-204.43914794921875,Normaly
38,-197.3671417236328,Normaly
35,-141.95135498046875,Normaly
67,-167.38848876953125,Normaly
43,-157.39791870117188,Normaly
75,-117.01297760009766,Normaly
